[REC] ARMED — listening on GPIO6(CMD) + GPIO5(FB). Press microwave START.
[REC] buffer full.
---REC BEGIN---
idx,t_us,chan,level,dt_us
706,515063,C,1,444
707,515264,C,1,201
708,515469,C,1,205
709,515683,C,1,214
710,515898,C,1,215
711,516113,C,1,215
712,516356,C,0,243
713,516783,F,0,427
714,516833,C,0,50
715,516985,F,1,152
716,517188,F,0,203
717,517388,F,0,200
718,517589,F,0,201
719,517790,F,0,201
720,517991,F,0,201
721,518193,F,0,202
722,518402,F,1,209
723,518606,F,0,204
724,518807,F,1,201
725,519007,F,0,200
726,519223,F,1,216
727,519423,F,0,200
728,519662,F,1,239
729,519863,F,0,201
730,520064,F,0,201
731,520266,F,0,202
732,520468,F,0,202
733,520668,F,0,200
734,520868,F,1,200
735,521533,F,1,665
736,521738,F,1,205
737,521940,F,0,202
738,522164,F,0,224
739,522364,F,1,200
740,522565,F,0,201
741,522767,F,0,202
742,522977,F,0,210
743,523178,F,0,201
744,523388,F,0,210
745,523637,F,1,249
746,524055,F,0,418
747,524888,C,1,833
748,525089,C,1,201
749,525303,C,0,214
750,526012,C,0,709
751,526212,C,0,200
752,526422,C,0,210
753,526630,C,0,208
754,526832,C,0,202
755,527046,C,0,214
756,527487,C,0,441
757,527939,C,0,452
758,528310,C,0,371
759,528745,C,0,435
760,529084,C,1,339
761,529288,C,1,204
762,529488,C,0,200
763,529688,C,0,200
764,530154,F,0,466
765,530156,C,0,2
766,530356,F,1,200
767,530358,C,1,2
768,530557,F,1,199
769,530763,F,1,206
770,530998,F,0,235
771,531211,F,0,213
772,531684,C,1,473
773,531901,C,1,217
774,532117,C,1,216
775,532331,C,0,214
776,532546,C,1,215
777,532747,C,1,201
778,533005,C,1,258
779,533459,F,0,454
780,533668,F,0,209
781,533868,F,1,200
782,534068,F,0,200
783,534289,F,0,221
784,534413,C,0,124
785,534509,F,1,96
786,535033,F,1,524
787,535234,F,1,201
788,535434,F,0,200
789,535635,F,1,201
790,535846,F,1,211
791,536046,F,0,200
792,536297,F,1,251
793,536497,F,0,200
794,536707,F,1,210
795,536908,F,0,201
796,537113,F,0,205
797,537314,F,0,201
798,537529,F,1,215
799,537731,F,1,202
800,537936,F,1,205
801,538143,F,1,207
802,538344,F,1,201
803,538547,F,1,203
804,538751,F,1,204
805,538916,C,0,165
806,538952,F,1,36
807,539534,F,1,582
808,539735,F,1,201
809,539935,F,0,200
810,540149,F,0,214
811,540393,F,0,244
812,540634,F,1,241
813,541562,C,1,928
